date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:28:56	28492/28492	---M--	200	added ('OK')	image/jpeg	etag:%22f54b91d06e30d41:0%22	https://www.bismigroup.com/Content/images/link-hypermarket-main.jpg	F:/bismi/bismi/www.bismigroup.com/Content/images/link-hypermarket-main.jpg	(from https://www.bismigroup.com/)
16:28:56	8084/8084	---M--	200	added ('OK')	image/png	etag:%2287d2f54ff532d41:0%22	https://www.bismigroup.com/Content/images/ab-logo.png	F:/bismi/bismi/www.bismigroup.com/Content/images/ab-logo.png	(from https://www.bismigroup.com/)
16:28:57	11264/11264	---M--	200	added ('OK')	image/jpeg	etag:%22ee26e4d06e30d41:0%22	https://www.bismigroup.com/Content/images/prd1.jpg	F:/bismi/bismi/www.bismigroup.com/Content/images/prd1.jpg	(from https://www.bismigroup.com/)
16:28:57	13502/13502	---M--	200	added ('OK')	image/jpeg	etag:%222e34e7d06e30d41:0%22	https://www.bismigroup.com/Content/images/prd2.jpg	F:/bismi/bismi/www.bismigroup.com/Content/images/prd2.jpg	(from https://www.bismigroup.com/)
16:28:58	6875/6875	---M--	200	added ('OK')	image/jpeg	etag:%22cebae8d06e30d41:0%22	https://www.bismigroup.com/Content/images/prd3.jpg	F:/bismi/bismi/www.bismigroup.com/Content/images/prd3.jpg	(from https://www.bismigroup.com/)
16:28:58	12665/12665	---M--	200	added ('OK')	image/jpeg	etag:%22fc8ebd06e30d41:0%22	https://www.bismigroup.com/Content/images/prd4.jpg	F:/bismi/bismi/www.bismigroup.com/Content/images/prd4.jpg	(from https://www.bismigroup.com/)
16:28:59	11376/11376	---M--	200	added ('OK')	image/jpeg	etag:%22af4eedd06e30d41:0%22	https://www.bismigroup.com/Content/images/prd5.jpg	F:/bismi/bismi/www.bismigroup.com/Content/images/prd5.jpg	(from https://www.bismigroup.com/)
16:29:00	9069/9069	---M--	200	added ('OK')	image/jpeg	etag:%22ef5bf0d06e30d41:0%22	https://www.bismigroup.com/Content/images/prd6.jpg	F:/bismi/bismi/www.bismigroup.com/Content/images/prd6.jpg	(from https://www.bismigroup.com/)
16:29:00	0/-1	---M--	302	error ('')			https://www.bismigroup.com/gallery/Awards	F:/bismi/bismi/www.bismigroup.com/gallery/Awards.26.delayed	(from https://www.bismigroup.com/)
16:29:00	959/959	---M--	200	added ('OK')	image/png	etag:%22c35a8ecf6e30d41:0%22	https://www.bismigroup.com/Content/images/aabasoft.png	F:/bismi/bismi/www.bismigroup.com/Content/images/aabasoft.png	(from https://www.bismigroup.com/)
16:29:00	14351/14351	---M-Z	200	added ('OK')	text/html	date:Wed,%2022%20Sep%202021%2012:26:39%20GMT	https://www.bismigroup.com/privacy/	F:/bismi/bismi/www.bismigroup.com/privacy/index.html	(from https://www.bismigroup.com/)
16:29:00	14917/14917	---M-Z	200	added ('OK')	text/html	date:Wed,%2022%20Sep%202021%2012:26:39%20GMT	https://www.bismigroup.com/termsandconditions/	F:/bismi/bismi/www.bismigroup.com/termsandconditions/index.html	(from https://www.bismigroup.com/)
16:29:01	97163/97163	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/1.12.4/jquery.min.js	F:/bismi/bismi/ajax.googleapis.com/ajax/libs/jquery/1.12.4/jquery.min.js	(from https://www.bismigroup.com/)
16:29:01	44227/44227	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03cf0-acc3%22	https://cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.3/owl.carousel.min.js	F:/bismi/bismi/cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.3/owl.carousel.min.js	(from https://www.bismigroup.com/)
16:29:02	114925/114925	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03e71-1c0ed%22	https://cdnjs.cloudflare.com/ajax/libs/gsap/1.20.3/TweenMax.min.js	F:/bismi/bismi/cdnjs.cloudflare.com/ajax/libs/gsap/1.20.3/TweenMax.min.js	(from https://www.bismigroup.com/)
16:29:02	12180/12180	---M-Z	200	added ('OK')	application/javascript	etag:%2248a2ab4c384fd41:0%22	https://www.bismigroup.com/Content/js/main.min.js	F:/bismi/bismi/www.bismigroup.com/Content/js/main.min.js	(from https://www.bismigroup.com/)
16:29:03	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2022%20Sep%202021%2012:26:42%20GMT	https://www.bismigroup.com/Content/css/owl.video.play.png	F:/bismi/bismi/www.bismigroup.com/Content/css/owl.video.play.2c.delayed	(from https://www.bismigroup.com/Content/css/owl.carousel.min.css)
16:29:04	109060/109060	---M--	200	added ('OK')	application/octet-stream	etag:%229479c213decd31:0%22	https://www.bismigroup.com/Content/fonts/Quicksand-Light.ttf	F:/bismi/bismi/www.bismigroup.com/Content/fonts/Quicksand-Light.ttf	(from https://www.bismigroup.com/Content/css/main.css)
